,NED_id,ra,dec,class
492,2MASX J19595975+6508547,299.99924,65.14851999999999,p
493,PKS 2013-308,304.06082000000004,-30.692120000000003,j
494,2MASX J20184779-5242334,304.69922,-52.7093,j
495,2MASX J20202637-0044287,305.1098,-0.74128,p
496,2MASX J20225911-2056561,305.74631,-20.94892,j
497,NGC 6946,308.71805,60.15368,g
498,2MASX J20430830-5059054,310.78461,-50.98485,j
499,ESO 528- G 036,310.94046000000003,-26.55027,j
500,ESO 234- G 068,311.46771,-51.10747,j
501,4C +57.35,311.78256,57.593619999999994,j
502,PKS 2045-395,312.27762,-39.388729999999995,j
503,IC 5063,313.00973999999997,-57.068769999999994,p
504,ESO 187-IG 025 NED05,313.03989,-52.79598000000001,j
505,IC 1335,313.27557,-16.33549,j
506,PKS 2054-581,314.65656,-57.94333,j
507,NGC 6998,315.4071,-28.03176,j
508,IC 1347,315.43503,-13.313220000000001,j
509,ESO 464- G 017,315.75107,-30.97865,j
510,NGC 7017 NED01,316.8342,-25.487560000000002,j
511,NGC 7018 NED02,316.85687,-25.42866,j
512,2MASX J21140128+8204483,318.50482,82.08009,j
513,3C 430,319.57962000000003,60.80206999999999,j
514,MRK 0514,320.11887,2.77621,j
515,ESO 287-IG 010,320.34265,-46.59835,p
516,CGCG 375-043 NED02,322.21227999999996,1.25832,j
517,IC 1386,322.40601000000004,-21.19565,j
518,NGC 7075,322.88742,-38.6179,j
519,2MASX J21341775-5338101,323.57385,-53.63624,u
520,FAIRALL 0109,324.03763,-60.68198,j
521,GIN 658,325.2662,-16.693920000000002,j
522,2MASX J21451552-1959406,326.31461,-19.99468,j
523,4C +33.52,326.60934,33.54472,j
524,2MASX J21492796-6429194,327.36664,-64.48872,j
525,PKS 2148-555,327.87466,-55.336859999999994,j
526,2MASX J21515500-1537358,327.97922,-15.62664,j
527,2MASX J21570170-0750224,329.25714,-7.839580000000001,j
528,4C +66.24,329.26047,66.43603,j
529,ESO 075- G 041,329.27487,-69.68994,j
530,PKS 2156-564,330.10042999999996,-56.17819,j
531,AM 2158-380 NED02,330.32111000000003,-37.77333,j
532,CGCG 403-019,331.07358,4.6672199999999995,j
533,IC 5180,332.80008,38.927279999999996,j
534,PKS 2209-255,333.08624,-25.30791,j
535,NGC 7236,333.68747,13.84653,j
536,2MASX J22234962-0206137,335.95673,-2.1038099999999997,j
537,PKS 2225-308,336.97696,-30.57555,j
538,UGC 12064,337.83585,39.35825,j
539,PKS 2229-08,337.93002,-8.40885,j
540,PKS 2232-526,338.79596000000004,-52.39006,p
541,NGC 7331,339.26709,34.41592,g
542,2MASX J22380121+4107363,339.50518999999997,41.12675,j
543,MCG -01-57-017,339.55634,-7.03477,u
