2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
09001815+0745350,CGCG 033-040,135.07565,7.75982,221.12523,32.11964,11.338,0.05,0.0605521847,0.0620996828,0.0005003469,270.741709687,2.1814084127,98,0,5,240.3,5.673623181,0,0,277.712214214,26792277681600000000000000000000000000000,0.0733611111,0.0181666667,0,0.0560139503,0.0029673049,0,135.083229175,7.7614879103,135.091622566,7.7698397678,j
09045929-1227444,2MASX J09045929-1227444,136.24699,-12.46241,241.12743,22.32245,11.109,0.065,0.0560423762,0.0570182732,0.0005003469,247.692040009,2.173547764,-5,0,2,253,9.019977827,0,0,292.389472311,23609682783000000000000000000000000000000,0.0288888889,0.0175833333,0,0.0164041568,0.0011108504,0,136.247499041,-12.4623965216,136.243227885,-12.4582334319,j
09074701-3535234,2MASX J09074701-3535234,136.94585,-35.58986,260.07169,8.06187,10.909,0.048,0.0374060596,0.0372263794,0.0005003469,159.415786256,2.142652415,98,2,7,1589.5,29.4292371631,1483.3,36.9444177109,1836.96864126,61442476771000000000000000000000000000000,0.1378055556,0.0348611111,0,0.0695665322,0.0083245427,0.0113371688,136.932297633,-35.6010926079,136.942548445,-35.600926943,u
09080217-0959378,2MASX J09080217-0959378,137.00914,-9.99376,239.44225,24.38639,11.474,0.063,0.055008382,0.0543063891,0.0005003469,235.454769485,2.1693406972,98,0,5,642.3,11.3446022407,0,0,742.299438992,54162466949300000000000000000000000000000,0.13225,0.03425,0,0.0769260182,0.0011908716,0,137.015581661,-10.0325262383,137.015516356,-10.0116800019,j
09092633-0922471,2MASX J09092633-0922471,137.35973,-9.37983,239.11906,25.02682,11.375,0.066,0.0585207695,0.059684895,0.0005003469,259.768568868,2.1776765104,98,0,3,380,8.2182723245,0,0,439.162053273,39003387772800000000000000000000000000000,0.0307222222,0.0118055556,0,0.025237295,0.002751095,0.0027566155,137.376878926,-9.3811956069,137.37686238,-9.3770277601,j
09101737-0937068,2MASX J09101737-0937068,137.57236,-9.61855,239.46832,25.0559,11.169,0.059,0.0552785107,0.0562349677,0.0005003469,244.152816678,2.1723334409,-5,0,4,460.4,9.2255081161,0,0,532.079498228,41744986360100000000000000000000000000000,0.0681666667,0.0229444444,0,0.0450847374,0.0012257148,0,137.580614827,-9.5888786973,137.572160361,-9.5889106265,j
09135500-1433516,2MASX J09135500-1433516,138.47917,-14.56429,244.36287,22.76863,11.341,0.068,0.0550950496,0.0559785126,0.0005003469,242.994880249,2.1719357194,98,0,6,609.9,15.4521843116,0,0,704.855095503,54777021126400000000000000000000000000000,0.13425,0.0353055556,0,0.0881706268,0.0085661903,0.00138889,138.445873827,-14.5400519378,138.445873827,-14.5400519378,u
09180565-1205439,Hydra A,139.52356,-12.09552,242.92558,25.09282,11.06,0.073,0.0548782318,0.0557719583,0.0005003469,242.06254475,2.1716153323,-1,0,1,40849.9,1278.8,0,0,47209.8051579,3640757205280000000000000000000000000000000,0.0173333333,0.0173333333,0,0.0008732857,0.0008732857,0,139.522732554,-12.0954292745,139.52273999,-12.0912626084,j
09275281+2959085,IC 2476,141.97008,29.98573,196.70023,45.57518,10.244,0.044,0.0266619078,0.0269353815,0.0005003469,114.472049471,2.1264125438,-4,0,13,399.7,10.0274622911,0,0,461.929138666,7966702427740000000000000000000000000000,0.4240555556,0.0352222222,0,0.0941498829,0.0036942787,0,0,0,0,0,j
09321011+2130029,NGC 2903,143.04213,21.50083,208.71164,44.54013,6.089,0.016,0.0018546254,0.0028096449,0.0005920772,10.3758607595,1.5659749838,4,0,1,444.5,13.9,0,0,513.704033368,72788968684900000000000000000000000000,0.0336666667,0.0336666667,0,0.0020841472,0.0020841472,0,143.041592411,21.5017879847,143.041564939,21.5059560141,g
09325289+6737026,NGC 2892,143.22049,67.6174,145.1463,39.87415,9.47,0.031,0.0228225664,0.0236231639,0.0005003469,100.147544041,2.1211600492,-4,0,2,235.6,7.467261881,0,0,272.280473029,3594193244710000000000000000000000000000,0.0283888889,0.0144722222,0,0.016046085,0.0019872663,0,143.22316712,67.6148042517,143.223029931,67.6189706834,j
09340714-3728078,2MASX J09340714-3728078,143.52959,-37.46885,265.17419,10.54189,11.318,0.089,0.0629438509,0.0641363819,0.0005003469,280.02410864,2.1845508866,98,1,3,1015.5,29.3935367045,1446.1,48,1232.70529026,127219717590000000000000000000000000000000,0.0377222222,0.034,0,0.0238634306,0.003184317,0,143.53033733,-37.465216531,143.522637955,-37.4651868353,j
